titel;artiest;jaar;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
Mr. Rock & Roll;Amy Macdonald;2008;0;0;0;0;0;0;0;0;0;0;365;289;572;814;1083;1369
Run;Amy MacDonald;2009;0;0;0;0;0;0;0;0;0;0;1777;0;0;0;0;0
Back To Black;Amy Winehouse;2006;0;0;0;0;0;0;0;0;0;0;0;0;1089;97;175;153
Rehab;Amy Winehouse;2007;0;0;0;0;0;0;0;0;322;1510;758;453;184;342;567;449
Valerie;Amy Winehouse;2007;0;0;0;0;0;0;0;0;0;0;253;236;72;139;203;522
You Know I'm No Good;Amy Winehouse;2007;0;0;0;0;0;0;0;0;351;1560;642;588;256;426;607;613
Our Day Will Come;Amy Winehouse;2011;0;0;0;0;0;0;0;0;0;0;0;0;0;744;1328;1456
I'm Outta Love;Anastacia;2000;0;0;398;256;476;369;489;312;962;462;0;1831;0;0;0;0
Left Outside Alone;Anastacia;2004;0;0;0;0;0;0;0;0;0;0;0;0;1782;0;0;0
Paid My Dues;Anastacia;2001;0;0;0;0;0;0;0;0;0;0;0;1949;0;0;0;0
Bloed, Zweet En Tranen ;André Hazes;2002;0;0;0;0;0;0;0;0;0;0;140;76;106;56;138;170
Zij Gelooft In Mij;André Hazes;2000;0;0;0;0;1039;30;62;101;291;123;215;192;208;169;187;275
Kleine Jongen;André Hazes;1990;0;0;0;0;0;0;454;353;417;626;842;304;405;445;356;361
Geef Mij Je Angst;André Hazes;1984;0;0;0;0;0;0;217;163;125;261;428;350;428;376;345;371
De Vlieger;André Hazes;1977;73;0;60;82;78;51;69;87;67;70;196;159;234;220;333;406
Zeg Maar Niets Meer;André Hazes;1982;0;386;745;819;988;552;782;1023;766;775;1418;1431;1476;1215;1183;1149
'n Beetje Verliefd;André Hazes;1981;535;348;710;569;572;454;570;727;612;584;1269;1249;1298;458;1322;1624
Het Is Koud Zonder Jou;André Hazes;1980;0;0;0;0;0;0;0;1206;1150;1818;0;1870;1987;1648;1844;1836
'n Vriend;André Hazes;1980;1160;0;1062;0;1106;879;1150;1661;1125;1249;0;1903;1935;848;1637;1850
Diep In Mijn Hart;André Hazes;1982;0;0;1241;0;1900;1125;1512;0;1508;1831;0;0;0;0;0;0
Eenzame Kerst;André Hazes;1976;0;0;0;0;1706;788;1408;1772;1538;1522;0;0;0;0;0;0
Ik Meen 't;André Hazes;1985;0;0;0;1290;1800;1250;1440;1702;1672;1611;0;0;0;0;0;0
Second Waltz;Andre Rieu;1994;0;0;1449;1221;1479;1009;884;1140;615;911;1190;1278;1736;1513;1985;1955
Als Je Huilt;André van Duin;1982;0;690;0;1225;1938;1572;0;0;0;0;0;0;0;0;0;0
BimBam;André van Duin;1982;0;0;0;0;0;0;1360;1535;1324;1791;0;0;0;0;0;0
De Tamme Boerenzoon;André van Duin;1974;0;0;0;0;0;1661;0;0;0;0;0;0;0;0;0;0
Doorgaan;André van Duin;1975;0;0;0;0;0;1586;0;0;0;0;0;0;0;0;0;0
