titel;artiest;jaar;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
I Heard It Through The Grapevine;Creedence Clearwater Revival;1973;505;261;269;434;606;416;466;535;467;467;463;421;496;682;547;697
Suzie Q;Creedence Clearwater Revival;1968;459;0;307;337;276;186;258;294;319;263;325;313;408;528;524;741
Proud Mary;Creedence Clearwater Revival;1969;0;256;426;406;569;520;450;481;586;500;733;568;712;958;861;998
Long As I Can See The Light;Creedence Clearwater Revival;1970;0;511;479;1011;787;748;802;934;937;819;1011;896;1006;1083;1024;1074
Born On The Bayou;Creedence Clearwater Revival;1969;0;0;0;0;0;871;917;774;796;984;932;866;1041;874;1029;1151
Down On The Corner;Creedence Clearwater Revival;1969;0;0;0;0;0;0;0;1180;1256;1837;1281;1072;1275;1267;1409;1629
Up Around The Bend;Creedence Clearwater Revival;1970;0;0;0;0;1102;1199;1155;1391;1498;1400;1351;1417;1559;1445;1562;1860
Hey Tonight;Creedence Clearwater Revival;1970;0;1100;983;1170;1606;1120;1282;1333;1437;1329;1964;1550;1488;1686;0;0
Sweet Hitchhiker;Creedence Clearwater Revival;1971;0;0;0;0;1569;1651;1685;1845;0;1955;0;1984;0;0;0;0
Travelin' Band;Creedence Clearwater Revival;1970;0;0;0;0;0;0;1790;1386;1382;1802;1557;1503;1925;1769;1802;0
Pied Piper;Crispian St. Peters;1966;0;1119;1660;1656;1602;1517;1812;1969;0;1913;0;0;0;0;0;0
You Were On My Mind;Crispian St. Peters;1966;1460;1647;1782;1707;1911;1938;0;0;0;0;0;0;0;0;0;0
Suite: Judy Blue Eyes;Crosby, Stills & Nash;1969;0;469;0;585;754;697;725;823;844;762;878;1018;1007;1168;1118;1397
Marrakesh Express;Crosby, Stills & Nash;1969;1196;1337;1275;1421;1814;1372;1371;1865;1731;1619;1637;1511;1803;0;0;0
Almost Cut My Hair;Crosby, Stills, Nash & Young;1971;283;0;157;249;297;317;643;213;277;276;261;257;352;414;378;509
Teach Your Children;Crosby, Stills, Nash & Young;1970;128;145;78;150;130;142;159;160;199;149;237;208;325;628;513;751
Our House;Crosby, Stills, Nash & Young;1970;241;239;192;204;173;233;234;265;300;236;322;271;391;602;508;755
Carry On;Crosby, Stills, Nash & Young;1970;949;586;0;642;576;818;839;905;1029;838;935;978;982;846;1003;1400
Helpless;Crosby, Stills, Nash & Young;1970;510;1027;0;1010;712;765;849;881;1016;865;1029;992;1069;1260;1382;1765
Four Seasons In One Day;Crowded House;1992;0;0;0;0;494;593;628;596;547;613;742;706;475;832;711;823
Don't Dream It's Over;Crowded House;1987;160;220;356;332;474;436;574;655;724;555;766;757;786;1053;793;1004
Into Temptation;Crowded House;1989;369;510;425;387;484;474;674;700;665;586;911;943;968;1204;1158;1292
Weather With You;Crowded House;1992;378;334;348;474;535;608;792;809;606;625;978;920;950;1250;1099;1445
Better Be Home Soon;Crowded House;1988;0;0;0;0;0;0;0;0;0;0;1953;1486;1648;0;1826;0
Street Life;Crusaders & Randy Crawford;1979;1256;0;1216;1469;1819;1693;1986;1776;1585;1693;0;0;0;0;0;0
Plage;Crystal Fighters;2011;0;0;0;0;0;0;0;0;0;0;0;0;1265;1697;1845;0
Don't It Make My Brown Eyes Blue;Crystal Gayle;1977;1361;1429;1825;0;1920;1829;0;0;0;0;0;0;0;0;0;0
Da Doo Ron Ron;Crystals;1963;1834;1928;1996;0;0;0;0;0;0;0;0;0;0;0;0;0
Window Of My Eyes;Cuby & The Blizzards;1968;230;91;45;84;84;84;89;88;69;76;87;81;38;106;142;136
Somebody Will Know Somebody;Cuby & The Blizzards;1967;0;0;0;0;0;0;836;494;294;694;612;648;306;638;604;757
Appleknockers Flophouse;Cuby & The Blizzards;1969;0;311;0;314;411;390;419;430;425;420;465;457;288;554;678;833
Another Day Another Road;Cuby & The Blizzards;1967;0;0;0;0;0;0;1693;1028;895;1529;1559;1618;1036;1728;1871;0
Back Home;Cuby & the Blizzards;1966;0;780;0;1153;1174;1007;1518;1393;1132;1243;0;0;1556;0;0;0
Do You Really Want To Hurt Me;Culture Club;1982;1042;1315;1462;1667;1659;1946;0;0;0;0;0;0;0;0;0;0
Karma Chameleon;Culture Club;1983;1062;1141;1252;1461;0;1779;0;0;0;0;0;0;0;1985;0;0
Norma Jean Wants To Be A Movie Star;Cunningham;1975;1996;1974;1887;0;0;0;0;0;0;0;0;0;0;0;0;0
Down To Earth;Curiosity Killed The Cat;1987;0;1930;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Move On Up;Curtis Mayfield;1971;0;0;0;0;0;0;0;0;1939;0;0;0;0;1983;1015;1076
Back Street Luv;Curved Air;1971;0;1654;0;0;0;0;0;0;0;0;0;0;0;0;0;0
(I just) Died In Your Arms Tonight;Cutting Crew;1986;1252;1213;1674;1688;1967;1760;0;0;0;0;0;0;0;0;0;0
True Colours;Cyndi Lauper;1986;465;890;1100;858;1460;811;1083;927;998;964;1026;912;628;969;826;1114
Time After Time;Cyndi Lauper;1984;735;710;839;1046;1189;1158;1324;1341;1381;1246;1382;1537;1432;1872;1566;1650
Girls Just Want To Have Fun;Cyndi Lauper;1984;948;948;1029;1137;1670;1077;1344;1555;1699;1434;1935;1554;0;1959;1741;1917
Get Lucky;Daft Punk;2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;357;174
One More Time;Daft Punk;2000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;959
Around The World;Daft Punk;1997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1138
Gigi L'Amoroso;Dalida;1974;1305;1257;1401;1449;1592;971;1464;1209;1207;1231;1303;1354;1474;1947;0;0
Paroles;Dalida;1973;1780;0;1391;1752;1954;1338;1588;1500;1702;1593;1514;1752;1982;1942;0;0
9 Crimes;Damien Rice;2006;0;0;0;0;0;0;0;0;0;0;0;0;0;1492;943;308
The Blower's Daughter;Damien Rice;2004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;915
Netherlands;Dan Fogelberg;1977;0;755;595;995;878;1083;1060;1321;1251;1128;1137;1292;1569;1406;1694;1602
Longer;Dan Fogelberg;1980;1655;0;1082;1418;1864;1892;0;0;0;0;0;0;0;0;0;0
Relight My Fire;Dan Hartman;1980;417;446;683;603;788;900;1207;1285;1377;1070;954;869;1020;918;958;939
All Kinds Of Everything;Dana;1970;1332;1202;1661;0;1908;0;1985;0;0;0;0;0;0;0;0;0
Prachtig Mooie Dag;Daniel Lohues;2011;0;0;0;0;0;0;0;0;0;0;0;0;346;485;371;329
Hier Kom Ik Weg;Daniel Lohues;2008;0;0;0;0;0;0;0;0;0;0;403;338;473;570;497;336
Bad Day;Daniel Powter;2005;0;0;0;0;0;0;820;1337;1574;1715;1881;1544;1665;1536;1979;0
At The Hop;Danny & the Juniors;1957;1791;1918;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ik Voel Me Zo Verdomd Alleen;Danny de Munk;1984;524;752;999;1372;1512;970;1553;1847;1025;1311;1251;1840;1920;0;0;0
I Remember Elvis Presley;Danny Mirror;1977;1947;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Butterfly;Danyel Gérard;1971;0;1660;1861;0;0;0;0;0;0;0;0;0;0;0;0;0
Come Back My Love;Darts;1978;1690;1368;1528;1928;0;0;0;0;0;0;0;0;0;0;0;0
Dansez Maintenant;Dave;1975;1908;1825;0;0;0;0;0;0;0;0;0;0;0;0;0;0
This Strange Effect;Dave Berry;1965;921;760;1114;974;838;993;966;985;1041;972;906;847;1322;1644;1575;1356
Now;Dave Berry;1965;0;1344;1863;1747;1625;1854;1816;1861;1969;1767;0;1897;0;0;0;0
Take Five;Dave Brubeck;1962;279;621;741;526;392;485;602;586;604;537;577;724;734;529;506;550
Bits And Pieces;Dave Clark Five;1964;0;1985;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Everybody Knows;Dave Clark Five;1967;1799;1931;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Glad All Over;Dave Clark Five;1964;911;1258;1142;1845;1202;1630;1757;1972;0;1872;0;0;0;0;0;0
Death Of A Clown;Dave Davies;1967;1251;1249;1604;1572;1652;1543;1940;1752;1762;1683;0;0;0;0;0;0
Don Juan;Dave Dee Dozy Beaky Mick & Tich;1969;1648;1879;0;1979;0;0;0;0;0;0;0;0;0;0;0;0
Hold Tight;Dave Dee Dozy Beaky Mick & Tich;1966;0;1966;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The legend Of Xanadu;Dave Dee Dozy Beaky Mick & Tich;1968;1006;841;1070;1047;1742;1063;1261;1256;1544;1313;1333;1560;1596;0;0;0
Zabadak;Dave Dee Dozy Beaky Mick & Tich;1967;0;1858;0;0;2000;1600;1920;1690;0;1958;0;0;0;0;0;0
I Hear You Knocking;Dave Edmunds;1970;1945;1772;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Heroes;David Bowie;1977;70;62;77;63;71;99;137;125;130;112;123;112;145;119;79;34
Space Oddity;David Bowie;1969;59;75;144;104;135;78;191;205;278;156;156;185;202;205;161;130
Life On Mars;David Bowie;1971;0;0;0;0;0;0;1171;901;727;1261;653;698;738;649;482;477
Ziggy Stardust;David Bowie;1972;514;0;0;469;521;522;819;811;828;715;591;745;720;850;639;573
Let's Dance;David Bowie;1983;0;927;553;690;982;831;999;941;933;895;885;906;916;1024;751;685
Ashes To Ashes;David Bowie;1980;600;744;1081;744;677;839;1265;1056;1229;989;1030;945;1101;833;757;736
China Girl;David Bowie;1983;659;564;580;633;734;888;962;1079;1100;930;901;786;956;968;896;780
Sound And Vision;David Bowie;1977;828;1008;1269;847;1098;843;1165;1211;1312;1125;1061;1090;1252;1005;847;798
Rebel Rebel;David Bowie;1974;966;0;1436;1425;1372;1212;1257;1409;1060;1247;937;1353;1366;1296;1102;881
Absolute Beginners;David Bowie;1986;0;651;1414;1108;1228;1333;1534;1568;1788;1497;1391;1244;1591;1007;1116;1146
Golden Years;David Bowie;1976;672;1259;1051;838;914;1100;1137;1362;1566;1225;1134;1173;1262;1197;1199;1250
The Jean Genie;David Bowie;1973;0;868;1272;952;1048;1285;1491;1420;1736;1390;1320;1359;1540;1351;1391;1287
Fame;David Bowie;1975;0;1253;1179;1292;1477;1287;1576;1811;0;1812;1774;1627;1861;1578;1582;1301
Where Are We Now;David Bowie;2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1448
Young Americans;David Bowie;1975;1378;0;0;1719;1811;0;0;0;0;0;0;0;0;0;0;1976
Dancing In The Street;David Bowie & Mick Jagger;1985;641;0;723;780;997;816;926;1045;1090;967;824;806;939;1371;1054;988
This Is Not America;David Bowie & Pat Metheny;1985;0;623;905;1253;1284;1263;1629;1594;1751;1491;1854;1378;1373;1363;1038;973
How Can I Be Sure;David Cassidy;1972;1159;0;0;1680;1837;1653;1567;1525;1839;1677;1947;0;0;0;0;0
Dear Mrs. Applebee;David Garrick;1966;1700;1718;1810;1905;1835;0;0;0;0;0;0;0;0;0;0;0
Babylon;David Gray;2000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1687
When Love Takes Over;David Guetta & Kelly Rowland;2009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1879
Titanium;David Guetta & Sia;2011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;910
Can I Get There By Candlelight;David McWilliams;1969;1590;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Days Of Pearly Spencer;David McWilliams;1967;1606;1593;1366;1778;1697;1878;1930;0;0;0;0;0;0;0;0;0
Don't Give Up On Us;David Soul;1977;1897;0;1796;0;0;0;0;0;0;0;0;0;0;0;0;0
Forbidden Colours;David Sylvian;1983;0;0;0;0;0;0;0;0;0;0;1023;989;1038;1125;1130;1072
Tie A Yellow Ribbon Round The Ole Oak Tree;Dawn & Tony Orlando;1973;1229;1806;1372;0;0;0;0;0;0;0;0;0;0;0;0;0
Mijn Gebed;DC Lewis;1970;842;528;918;973;591;792;750;647;392;579;801;856;1047;869;1127;1182
Als Ze Er Niet Is;De Dijk;1994;204;193;218;149;92;134;125;99;126;119;152;139;150;193;206;217
Mag Het Licht Uit;De Dijk;1987;0;269;0;243;158;214;149;144;157;154;230;224;236;323;375;385
Dansen Op De Vulkaan;De Dijk;1987;0;478;0;449;257;541;380;263;350;343;339;332;333;360;401;405
Ik Kan Het Niet Alleen;De Dijk;1989;591;466;733;483;374;479;432;322;413;389;392;323;266;431;530;528
Kan Ik Iets Voor Je Doen?;De Dijk;2011;0;0;0;0;0;0;0;0;0;0;0;0;0;438;477;546
Bloedend Hart;De Dijk;1982;258;0;279;270;171;244;218;170;296;211;245;260;247;363;493;584
De Blues Verlaat Je Nooit;De Dijk;2012;0;0;0;0;0;0;0;0;0;0;0;0;0;448;618;735
Niemand In De Stad;De Dijk;1990;0;0;0;0;0;0;0;0;0;0;0;0;0;1732;1055;749
Binnen Zonder Kloppen;De Dijk;1985;330;388;381;315;325;504;456;333;495;397;452;430;529;568;658;769
Mijn Van Straat Geredde Roos;De Dijk;2008;0;0;0;0;0;0;0;0;0;0;400;302;351;808;715;813
Groot Hart;De Dijk;1985;0;0;0;0;0;0;0;0;0;0;0;0;0;1905;1153;855
Nergens Goed Voor;De Dijk;1989;764;0;399;656;400;600;600;533;746;580;752;631;617;840;866;864
Als Het Golft;De Dijk;2000;0;0;0;0;0;0;913;468;462;782;633;548;683;678;753;1052
Mooier Dan Nu;De Dijk;2009;0;0;0;0;0;0;0;0;0;0;522;412;646;1140;1217;1460
Laat Het Vanavond Gebeuren;De Dijk;1997;0;0;0;0;0;0;0;0;0;0;1778;0;1585;1724;1627;1737
Recht In De Ogen;De Dijk;2005;0;0;0;0;0;0;331;859;1517;1183;0;0;0;0;0;0
Sterrenstof;De Jeugd Van Tegenwoordig;2010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;762
In Nije Dei;De Kast;1997;120;108;126;197;405;441;413;368;275;325;411;249;416;663;511;615
Hart Van Mijn Gevoel;De Kast;1999;0;0;0;0;0;0;1013;758;772;1185;1071;509;773;1042;925;1022
Eltse Grins Foarby;De Kast;1997;702;0;363;635;1531;1545;1272;1345;1323;1273;1695;1157;1683;1616;1666;1895
Woorden Zonder Woorden;De Kast;1998;308;0;292;421;1059;1148;1121;1112;1010;993;1451;1001;1311;1549;1856;0
Zij Maakt Het Verschil;De Poema's;2001;0;0;0;0;1373;122;146;190;314;234;300;300;356;483;384;576
Mijn Houten Hart;De Poema's;1999;0;0;0;0;0;0;791;293;431;645;332;346;386;562;494;590
You Spin Me Round (Like A Record);Dead or Alive;1985;0;1238;0;1549;0;0;0;0;0;0;0;0;0;0;0;0
Lydia;Dean Friedman;1979;1560;0;1838;1787;0;1835;0;0;0;0;0;0;0;0;0;0
Everybody Loves Somebody;Dean Martin;1964;1449;0;1842;1912;1638;1861;1532;1623;1529;1626;0;0;0;0;0;0
How Do You Like Your Eggs In The Morning;Dean Martin & Helen O'Connell;1951;1649;0;1941;0;0;0;0;0;0;0;0;0;0;0;0;0
Rhythm Of The Night;DeBarge;1985;1926;1857;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Breakfast At Tiffany's;Deep Blue Something;1996;0;0;0;0;0;0;0;0;1399;0;0;1924;1635;1583;1450;1825
Child In Time;Deep Purple;1972;3;2;2;2;3;3;4;4;4;4;5;4;3;4;4;4
Smoke On The Water;Deep Purple;1973;200;110;109;77;67;72;90;89;116;87;64;82;89;104;118;105
Black Night;Deep Purple;1970;0;781;0;552;407;643;724;752;860;691;775;743;894;614;735;992
Woman From Tokyo;Deep Purple;1973;0;865;0;882;670;920;977;1043;1213;1001;1047;1085;1218;1052;1073;1275
Runaway;Del Shannon;1961;667;731;1206;1368;1003;1566;1466;1640;956;1252;0;0;0;0;0;0
Free The People;Delaney & Bonnie & Friends;1970;1797;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Put A Little Love On Me;Delegation;1980;1924;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
My Friend The Wind;Demis Roussos;1973;1011;1077;571;795;887;844;808;800;912;805;1210;1147;1308;1754;1713;1823
Forever And Ever;Demis Roussos;1973;0;0;0;0;1436;1722;1747;1800;0;1950;0;0;0;0;0;0
Let's Hear It For The Boy;Deniece Williams;1984;1811;1971;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Also Sprach Zarathustra;Deodato;1973;1645;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Enjoy The Silence;Depeche Mode;1990;0;0;0;0;0;0;0;0;192;1120;177;213;181;174;158;142
Just Can't Get Enough;Depeche Mode;1985;0;655;0;566;883;695;1004;904;1027;893;944;1042;972;1003;834;977
Blasphemous Rumours;Depeche Mode;1984;0;817;0;0;0;0;0;0;0;0;0;0;0;0;0;0
People Are People;Depeche Mode;1984;716;1144;1305;864;1148;1084;1766;1720;0;1752;1908;0;0;1759;1884;0
Layla;Derek & The Dominos;1971;216;440;623;465;332;508;543;623;593;526;491;612;677;558;515;633
Voyage Voyage;Desireless;1987;0;1699;1586;0;0;0;0;0;0;0;0;0;0;0;0;0
The Israelites;Desmond Dekker & The Aces;1969;1544;1696;1859;1959;0;0;0;0;0;0;0;0;0;0;0;0
Life;Des'ree;1998;0;0;1955;1935;0;1939;0;0;0;0;0;0;0;0;0;0
Feel The Need In Me;Detroit Emeralds;1973;1724;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Working My Way Back To You;Detroit Spinners;1980;1813;0;1936;1573;1990;0;0;0;0;0;0;0;0;0;0;0
Come On Eileen;Dexy's Midnight Runners;1982;512;648;471;543;772;609;900;1046;902;803;1027;1106;1147;974;772;921
Theme From Mahogany;Diana Ross;1976;809;739;728;1068;1199;1136;1186;1114;1309;1153;1252;1316;1601;1795;1707;1617
Ain't No Mountain High Enough;Diana Ross;1970;1124;0;1808;1403;1265;1502;1635;1515;1512;1509;1462;1375;1658;1515;1812;0
Chain Reaction;Diana Ross;1985;1591;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Love Hangover;Diana Ross;1976;0;1617;0;0;0;0;0;0;0;0;0;0;0;0;0;0
My Old Piano;Diana Ross;1980;1541;1944;0;0;1685;1830;0;0;0;0;0;0;0;0;0;0
Upside Down;Diana Ross;1980;1499;1870;0;0;1944;0;0;0;0;0;0;0;0;0;0;0
When You Tell Me That You Love Me;Diana Ross;1992;0;0;1830;0;0;0;0;0;0;0;0;0;0;0;0;0
Why Do Fools Fall In Love;Diana Ross;1981;1823;1645;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Endless Love;Diana Ross & Lionel Richie;1981;1027;0;0;0;0;1912;0;0;0;0;0;0;0;0;0;0
Reflections;Diana Ross & Supremes;1967;1134;0;1656;1590;1896;1944;1998;1988;0;1976;0;0;0;0;0;0
White Flag;Dido;2003;0;0;0;0;0;57;164;448;634;322;980;967;1017;1232;1211;1363
Life For Rent;Dido;2003;0;0;0;0;0;559;702;1296;1677;1245;0;1907;1886;0;0;0
Sausolito Summernight;Diesel;1980;1376;0;984;1722;1709;1550;1789;1984;2000;1759;1469;1586;1858;1699;1730;1781
Cokane In My Brain;Dillinger;1977;1684;0;1530;1925;0;0;0;0;0;0;0;0;0;0;0;0
Een Lied Voor Kinderen;Dimitri van Toren;1973;0;1373;1752;1591;1887;1529;1886;1928;1836;1745;0;0;0;0;0;0
Hé Kom Aan;Dimitri van Toren;1973;1397;1435;1237;1585;1687;1396;1500;1721;1695;1601;0;0;0;0;0;0
All The Love In The World;Dionne Warwick;1983;1860;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Anyone Who Had A Heart;Dionne Warwick;1964;1386;1586;0;0;0;1745;0;0;0;0;0;0;0;0;0;0
Heartbreaker;Dionne Warwick;1982;1613;1496;1915;1860;1847;1735;1928;0;0;0;0;0;0;0;0;0
What The World Needs Now;Dionne Warwick;1967;1677;1751;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Brothers In Arms;Dire Straits;1985;28;22;7;9;11;15;19;20;19;13;21;19;15;11;11;14
Sultans Of Swing;Dire Straits;1978;20;16;10;16;15;27;28;27;28;23;32;25;30;28;21;27
Telegraph Road;Dire Straits;1982;0;0;0;0;0;0;0;329;85;371;81;73;97;73;52;52
Private Investigations;Dire Straits;1982;57;19;14;7;17;24;29;31;35;25;37;36;47;49;66;70
Money For Nothing;Dire Straits;1985;331;443;325;252;198;306;279;304;303;268;262;255;225;215;195;234
Romeo And Juliet;Dire Straits;1980;432;0;0;269;203;331;295;316;320;302;358;326;314;306;276;353
Walk Of Life;Dire Straits;1985;170;213;147;173;164;178;207;210;244;192;329;315;341;309;306;355
Tunnel Of Love ;Dire Straits;1980;0;472;0;353;285;473;461;560;543;485;547;473;700;609;540;623
On Every Street;Dire Straits;1992;0;0;0;0;0;0;1120;951;973;1439;931;955;975;836;823;940
Why Worry;Dire Straits;1985;0;0;0;0;0;0;1323;783;707;1198;897;826;964;834;947;993
So Far Away;Dire Straits;1985;0;0;0;0;0;0;0;0;0;0;1307;1294;1446;1307;1278;1381
Water Of Love;Dire Straits;1978;981;0;0;933;1001;1217;1184;1224;1685;1317;1634;1372;1731;1596;1632;1654
Calling Elvis;Dire Straits;1991;0;0;0;0;0;0;0;1484;1565;1967;1530;1493;1808;1421;1551;1708
Twisting By The Pool;Dire Straits;1983;0;0;0;0;0;0;0;1748;1924;0;0;0;0;0;0;0
Times Are Changing;Di-rect;2009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1724
This Is Who We Are;Di-rect;2010;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1982
Inside My Head;Di-Rect;2002;0;0;0;0;0;0;0;0;0;0;0;0;1741;0;0;0
Heaven;Do;2002;0;0;0;0;0;0;0;1055;1248;1798;1749;1869;1599;1925;0;0
Sinds 1 Dag Of 2 (32 Jaar);Doe Maar;1981;105;203;367;366;338;363;424;449;450;395;509;566;439;172;531;678
Belle Helene;Doe Maar;1982;0;294;841;771;889;1012;1091;1176;1186;1045;1165;1229;1015;530;795;1089
Is Dit Alles;Doe Maar;1982;333;326;977;841;846;847;923;1018;984;907;1032;1033;851;785;897;1241
De Bom;Doe Maar;1982;237;224;687;742;1070;954;1108;1111;1120;1002;1288;1389;1001;647;882;1281
Smoorverliefd;Doe Maar;1981;0;0;802;866;995;1078;1076;1307;1383;1190;1383;1505;1145;826;1080;1367
Pa;Doe Maar;1983;785;578;1590;1236;1408;1265;1459;1636;1726;1499;1697;1801;1547;997;1254;1648
1 Nacht Alleen;Doe Maar;1983;0;0;0;0;0;1756;1551;1658;1697;1794;0;1988;1538;921;1511;0
Doris Day;Doe Maar;1982;1650;783;0;0;0;0;0;0;0;0;0;0;0;0;0;0
All The Roses;Dolly Dots;1982;0;1414;1761;0;0;0;0;0;0;0;1477;0;0;0;0;0
Love Me Just A Little Bit More;Dolly Dots;1983;906;0;1254;980;1485;1290;1736;1808;1462;1538;1263;1746;1870;0;0;0
Radio;Dolly Dots;1979;1626;1737;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jolene;Dolly Parton;1974;1364;0;1471;1199;775;757;781;749;717;750;963;928;726;770;445;436
I Will Always Love You;Dolly Parton;1983;632;0;941;829;1262;837;832;855;805;844;1191;1066;1318;1428;1469;1303
9 To 5;Dolly Parton;1981;1512;0;1456;1971;1718;1641;1947;1995;1944;1777;0;0;0;1611;0;0
You Are;Dolly Parton;1983;1118;866;240;1540;1612;1353;1443;1549;1319;1343;1955;1847;1971;1716;0;0
Islands In The Stream;Dolly Parton & Kenny Rogers;1983;1206;1176;1119;853;1288;1294;990;1147;1020;1103;1547;1277;1269;1343;1360;1039
The Boys Of Summer;Don Henley;1985;443;409;543;338;359;359;438;470;562;429;516;597;509;661;456;485
New York Minute;Don Henley;1989;0;0;0;0;0;0;0;1295;1148;1843;1296;1380;1143;1234;1208;1106
Vincent;Don McLean;1972;219;202;225;273;241;162;304;266;285;240;395;297;350;502;512;435
American Pie;Don McLean;1972;384;252;335;310;530;383;310;544;553;439;585;556;465;372;409;562
Crying;Don McLean;1980;0;1205;1517;1841;1475;1755;1665;1809;1898;1707;0;0;0;0;0;0
Rocky;Don Mercedes;1976;1461;1288;1403;1607;1779;1747;1484;1746;1790;1667;0;0;0;0;0;0
Rosie;Don Partridge;1968;1891;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
De Oude School;Don Quishocking;1974;0;1166;1331;1815;0;0;0;0;0;0;0;0;0;0;0;0
Swimming Into Deep Water;Don Rosenbaum;1972;1422;1579;1397;1634;1796;1980;1148;0;0;0;0;0;0;0;0;0
I.G.Y.;Donald Fagen;1982;0;1777;1056;1315;1976;0;0;0;0;0;0;0;0;0;0;0
New Frontier;Donald Fagen;1983;1258;0;0;0;0;1928;0;0;0;0;0;0;0;0;0;0
The Nightfly;Donald Fagen;1982;0;0;0;1376;1610;1585;1586;1688;1596;1637;0;0;0;0;0;0
If You Hold My Hand;Donna Hightower;1973;1708;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
State Of Independence;Donna Summer;1982;637;776;882;767;719;700;922;1016;1051;880;913;839;942;817;745;857
MacArthur Park;Donna Summer;1978;0;703;0;1017;862;761;847;849;783;810;870;821;833;868;878;907
I Feel Love;Donna Summer;1977;777;1032;1040;1175;1278;1197;1335;1562;1394;1353;1467;1633;1302;1092;856;1110
Last Dance;Donna Summer;1978;1242;1677;1378;1592;1566;1799;0;1779;1822;1804;0;0;0;1790;1902;1979
Could It Be Magic;Donna Summer;1976;1392;1592;1755;1751;0;0;0;0;0;0;0;0;0;0;0;0
Lady Of The Night;Donna Summer;1974;0;1782;0;0;0;0;0;0;0;0;0;0;0;0;0;0
The Hostage;Donna Summer;1974;1929;1529;1846;0;0;0;0;0;0;0;0;0;0;0;0;0
Atlantis;Donovan;1969;478;585;591;676;896;690;757;822;1046;801;1186;1295;1343;1420;1567;1894
Colours;Donovan;1965;0;1591;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mellow Yellow;Donovan;1966;1997;1894;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sunshine Superman;Donovan;1966;0;1908;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Universal soldier;Donovan;1965;826;978;1105;860;944;986;1154;1225;1355;1143;1554;1553;1754;0;1847;0
A Guy Is A Guy;Doris Day;1952;1751;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Que Sera Sera (Whatever Will Be Will Be);Doris Day;1956;902;0;1749;1611;1246;1258;1449;1593;1559;1476;0;0;0;0;0;0
Twee Motten;Dorus;1957;937;1299;1815;1595;1467;1679;1919;1830;1747;1698;0;0;0;0;0;0
Home;Dotan;2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;82
Fall;Dotan;2014;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1579
Winter In America;Doug Ashdown;1978;820;904;1367;1135;1188;1370;1404;1724;1700;1502;0;1901;1895;1929;1646;0
Sylvia's Mother;Dr Hook;1972;468;642;360;499;510;366;526;555;558;499;734;670;705;1217;1178;1306
Cherchez La Femme;Dr. Buzzard's Or. Savannah Band;1977;1430;0;1512;1201;1789;0;0;0;0;0;0;0;0;0;0;0
Baby makes her Blue Jeans Talk;Dr. Hook;1982;1198;0;1136;1582;1464;1462;1490;1614;1791;1595;1934;1859;0;0;0;0
Sharing The Night;Dr. Hook;1979;1851;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
When You're In Love With A Beautiful Woman;Dr. Hook;1979;1714;0;1524;1412;1298;1792;0;0;0;0;0;0;0;0;0;0
Marmor, Stein Und Eiser Bricht;Drafi Deutscher;1965;1296;1036;1064;1374;1295;1214;1217;1203;1679;1320;1721;1613;1676;1906;1878;0
